"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"13F17" 0.00542945346769123 0.0190765482307026 7.76809747736539 1.77410900428084e-08 0.000514367423611145 7.76254730103926
"33F10" -0.059769726224175 0.188880196878411 -7.14407443474001 8.69324516578064e-08 0.000777268970778172 6.14414493879207
"60C19" -0.0114642586898604 0.0447332227990641 -7.00927120091582 1.23294288656354e-07 0.000777268970778172 5.78887782525243
"52A15" 0.0417224763970562 0.0708589760518419 6.99646652906583 1.27469264971749e-07 0.000777268970778172 5.75503363455679
"18B09" -0.0224564732809271 0.0557771379096951 -6.94786770551304 1.44667106557356e-07 0.000777268970778172 5.62642955765051
"55L15" 0.014467859633569 0.0279157196521771 6.90722047543932 1.60853096425655e-07 0.000777268970778172 5.5186846255589
"18B02" -0.0321338229138045 0.084519665906893 -6.81894962292188 2.02641086968026e-07 0.000816533608271172 5.2841405045828
"18C09" -0.0308695147105085 0.0720864482269459 -6.77853596310086 2.25305034531417e-07 0.000816533608271172 5.17650597645244
"18B03" -0.0495711321774409 0.110789702624609 -6.7275878235814 2.57587497592536e-07 0.000829803813077822 5.04059469652056
"38K11" 0.0143697430001721 0.031995288449498 6.64742914088686 3.18171736778253e-07 0.000922475316441188 4.82627490901119
"14B12" 0.00587848197293677 0.0174882976066462 6.59666173442764 3.63840906968849e-07 0.000958985401431622 4.69023952723217
"18B07" -0.0196894446829243 0.0490605387131938 -6.51342912865662 4.53583199866513e-07 0.00109589480947748 4.46672623416229
"18F15" -0.0125172406795043 0.0429483976828348 -6.46601387371518 5.14438892515408e-07 0.00114731744697686 4.33913604398994
"43K15" -0.0181568940874883 0.0703629303301752 -6.38877613357437 6.31832980752843e-07 0.00127031889947756 4.13090594989027
"72L18" -0.00667507636690236 0.0278445173139394 -6.37399750650097 6.57220139073688e-07 0.00127031889947756 4.09100970890597
"18F03" -0.0160786247067919 0.0436266828037909 -6.24559332690103 9.26243528198561e-07 0.0016784111633163 3.74368016589431
"18C17" -0.0140911851819529 0.0317031108325845 -6.1946431415419 1.06176891285594e-06 0.00170723385726176 3.60553359552293
"66F21" -0.00638917499436965 0.025085067964424 -6.18582644661489 1.08718211142663e-06 0.00170723385726176 3.58160996473943
"25N09" 0.0083302175639394 0.0428272183024116 6.15268914644038 1.18832714747931e-06 0.00170723385726176 3.49164738982105
"20D21" -0.0289157743747474 0.122195686152246 -6.1517309037689 1.19138958751848e-06 0.00170723385726176 3.48904483697323
"60A21" -0.00470896042598767 0.0131133732828561 -6.11535204212975 1.31375352955908e-06 0.00170723385726176 3.39019741767759
"87J12" -0.00708182507771886 0.0299363692379209 -6.11203885667336 1.32551082318573e-06 0.00170723385726176 3.3811907600348
"45M12" -0.00453505483140091 0.0112438087470408 -6.08667620979345 1.41911139722987e-06 0.00170723385726176 3.31222156228157
"18A04" -0.0220295622445638 0.0659390497943693 -6.08343290376627 1.43155332251813e-06 0.00170723385726176 3.3033991091003
"02N23" -0.00762984263437618 0.0271167732277048 -6.02939348928389 1.65587132190328e-06 0.00170723385726176 3.15630805387113
"45F21" -0.0878483041689563 0.254895914092745 -5.97702239744945 1.9071626622372e-06 0.00170723385726176 3.01359726163309
"63D22" 0.0137514152803305 0.0464210229354535 5.97544923988485 1.91528027768936e-06 0.00170723385726176 3.00930806893397
"21D14" -0.00496066702180884 0.0188532976796585 -5.97393133295279 1.92314588357576e-06 0.00170723385726176 3.00516938913408
"66C09" -0.0290738063997753 0.113441616699226 -5.97165835306468 1.934985248397e-06 0.00170723385726176 2.99897171682331
"55J11" 0.148110279065657 0.248139369553745 5.95424244680788 2.02817810578876e-06 0.00170723385726176 2.95147504325022
