"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"83C07" 0.0528927501320451 0.0987289926798004 8.0816649561828 8.13126357952289e-09 0.000235749724961107 8.53048457817532
"28I19" 0.0602786853224626 0.0559260902217236 7.15952530304054 8.35306442257157e-08 0.000627995436425163 6.15671503329852
"68B10" 0.0173304852921302 0.055026892774413 7.1234081686965 9.17040893208391e-08 0.000627995436425163 6.06177394575576
"85H15" 0.0626914905130494 0.0972070776060711 7.04652165278206 1.11922067949322e-07 0.000627995436425163 5.85920367086819
"60C19" -0.0111858199194159 0.0447332227990641 -7.03523818822766 1.15249446746242e-07 0.000627995436425163 5.82942358808604
"82O15" 0.0313717728655563 0.0862095307792233 6.98902465603741 1.29961460302521e-07 0.000627995436425163 5.70731682842703
"65C17" 0.00933675163614479 0.0228911461044857 6.88936438540699 1.68534338380953e-07 0.000638861702788266 5.44325470687324
"51M03" -0.00403292531461953 0.0174067544921894 -6.87217653087518 1.76280261521958e-07 0.000638861702788266 5.39761338126563
"71E24" 0.0701492845087876 0.135571906236967 6.57782996901548 3.8242644204992e-07 0.00123196553715037 4.6116537961073
"02N23" -0.00800277985240909 0.0271167732277048 -6.5055349257468 4.63183955271119e-07 0.00124074381220788 4.41742499617638
"68H13" 0.0330656383729024 0.0523020791091135 6.44859679734632 5.38818053525663e-07 0.00124074381220788 4.26414673397085
"61A23" 0.0436189412739392 0.107165149766078 6.44852117034027 5.38926425590858e-07 0.00124074381220788 4.263942969038
"67B14" 0.0304452089253908 0.0464151003720499 6.43657207639163 5.56329788524899e-07 0.00124074381220788 4.23174225171003
"62O07" 0.0232368904080472 0.128777771154238 6.33131587914408 7.36497084484662e-07 0.00152523285503313 3.94761022680702
"83O22" 0.0195193944122921 0.0671773878675641 6.28737983317748 8.28248227901707e-07 0.00153836209225965 3.82875893015255
"50L10" 0.023399689804105 0.0717761101066242 6.25779610401475 8.96470600757529e-07 0.00153836209225965 3.74865281353757
"03N23" -0.00728253109450505 0.0239916203497511 -6.23661390658836 9.48789568987697e-07 0.00153836209225965 3.69125789463268
"71B14" 0.0321714369792211 0.0551113971890326 6.23414870585285 9.55075972154442e-07 0.00153836209225965 3.68457618242419
"85D13" 0.00568607404180882 0.00821481797708271 6.20160938103817 1.04211515926077e-06 0.00159021288486566 3.59634177256036
"63J06" 0.0995737804321214 0.229874772629634 6.14093315707892 1.22645487313303e-06 0.0017779303068373 3.43162009909711
"63D22" 0.0136717933119192 0.0464210229354535 6.11128790332739 1.32819044344039e-06 0.00183372502507939 3.35105313420367
"93E21" 0.0224977122862904 0.0387516032841276 6.08296395898055 1.43336138600351e-06 0.00183872929542274 3.27402560958668
"62G20" 0.0316445186300315 0.065870733458699 6.05183386224547 1.55869859851726e-06 0.00183872929542274 3.18931032014957
"22P02" 0.0226455006889731 0.0735816188156215 6.03455501538615 1.63299168015231e-06 0.00183872929542274 3.142264039705
"61B06" 0.0121281523429216 0.0387625854121083 6.03237518773814 1.64261503110719e-06 0.00183872929542274 3.13632763954225
"03L20" -0.00753024107706275 0.0165094905779359 -6.02804480758817 1.6619028701012e-06 0.00183872929542274 3.12453375037311
"63G22" 0.0268292557284326 0.0675573331586126 6.01695810105819 1.71233370042472e-06 0.00183872929542274 3.0943339432376
"23G23" 0.0140613453928963 0.0402181246280518 5.91801125414608 2.23684183704906e-06 0.00231616983505584 2.82450678495056
"03G22" -0.00664029325873907 0.0289260143310937 -5.86508403256336 2.58128344269865e-06 0.00258066037428144 2.67996812281762
"85A24" 0.0106461305670565 0.0134905955671286 5.83636776107695 2.79009098596629e-06 0.00269034472895145 2.60149155264831
"68E20" 0.0193100590805719 0.0452710187163307 5.82510356461033 2.87658009165988e-06 0.00269034472895145 2.57069830054742
"91F13" 0.0243950095453089 0.0555114767518526 5.79914128898143 3.08637173563571e-06 0.00275143682438664 2.49970343914929
"87P21" 0.0188963204338632 0.0635930173300901 5.79376594099088 3.13170127978337e-06 0.00275143682438664 2.48500075578268
"83A03" 0.0147974546003908 0.0378403736851682 5.77622475958663 3.28434845364437e-06 0.00280067984460328 2.43701370094415
"93G05" 0.027447212638973 0.0674834272932136 5.73564841659348 3.66684678881192e-06 0.00303703191630868 2.32596290027229
"17K21" 0.00629668915776647 0.0255321202039985 5.72533635518136 3.77101883168739e-06 0.00303703191630868 2.29773048441011
"61F08" 0.0170008279501755 0.0699443689185065 5.70176423952507 4.02048941963044e-06 0.00315043377684717 2.23318016260732
"87J12" -0.00639797268623738 0.0299363692379209 -5.6802491920577 4.26268959479292e-06 0.00317371509232701 2.17424608215202
"18F04" -0.0122899372115632 0.0379445180307379 -5.66730365965214 4.41545276139463e-06 0.00317371509232701 2.13877821816248
"83P09" 0.0109034096075152 0.0289092564209672 5.65366552201239 4.5823613414554e-06 0.00317371509232701 2.10140696557338
"21D11" -0.00453465935379471 0.019184072265278 -5.65030507390899 4.62445489490022e-06 0.00317371509232701 2.09219776675345
"70C10" 0.0196384467540615 0.067133944822778 5.64739036643499 4.66128039146104e-06 0.00317371509232701 2.08420982484043
"63J02" 0.0499360975329627 0.107894758823066 5.64282717740913 4.71952766047425e-06 0.00317371509232701 2.07170359503883
"62N10" 0.0246211374241469 0.0357152158046959 5.62322844942679 4.97815240431363e-06 0.00317371509232701 2.0179827705885
"69F12" 0.00765902129155219 0.0232807701881647 5.62214711967841 4.99283023758545e-06 0.00317371509232701 2.01501848210814
"87N17" -0.00501414196241066 0.00936032460136887 -5.61567691039499 5.08157128887544e-06 0.00317371509232701 1.99728077167695
"69I24" 0.0168196751474013 0.0642639884801603 5.60866188790567 5.17958054511355e-06 0.00317371509232701 1.97804816783609
"28E23" 0.0335558488082726 0.102306401613782 5.59481469856397 5.37866811431569e-06 0.00317371509232701 1.94008036244113
"85D17" 0.0529200488289586 0.0717753461230641 5.5918886459744 5.42171386177409e-06 0.00317371509232701 1.93205672715189
"66K08" 0.00863786352360944 0.0311501545202317 5.5825539885833 5.56137017977356e-06 0.00317371509232701 1.90645834856929
"87D18" 0.0292844345289708 0.0596410523190111 5.58114854544502 5.58270857478279e-06 0.00317371509232701 1.90260401807011
"26E24" 0.0387081695736344 0.0706751171499074 5.56255960623223 5.87281780880727e-06 0.00318124333688038 1.85162057110738
"66K24" -0.00506818543933585 0.0122265271623415 -5.56203382712736 5.88124051279791e-06 0.00318124333688038 1.85017840845515
"08K24" -0.0227708990611189 0.0632089569798781 -5.55930660463473 5.92512469187529e-06 0.00318124333688038 1.84269778977052
"69D14" 0.0117618757970539 0.0197000513147388 5.54785414128739 6.11303565793934e-06 0.00322245896055701 1.81128245732864
"66J19" -0.0037698955036348 0.00813483681149584 -5.53885494324671 6.26489344155806e-06 0.00324353670626952 1.78659463905626
"13L11" 0.0439828341449637 0.103835615716702 5.52910417598133 6.43372269580657e-06 0.00327250740560561 1.75984305116109
"26F07" 0.00936803138393518 0.0166182420235951 5.51879679087631 6.61717076843896e-06 0.00330778676016122 1.73156222738926
"93L20" 0.119400120294646 0.132950846004583 5.51156427269718 6.74902708057635e-06 0.00331651766351102 1.7117167905936
"72K06" 0.0165037779864996 0.0485709533087589 5.50179414401888 6.9313545416136e-06 0.00334934603708339 1.6849067740719
"24A01" 0.00892667705136364 0.0346868561319178 5.49444726444219 7.0717174371293e-06 0.00336115251892934 1.66474519214986
"83J07" 0.0491980757415613 0.0941919490183427 5.48154719830555 7.32512899627955e-06 0.0034254429836957 1.62934206263878
"63H16" 0.0103419206710393 0.0434328718347379 5.46534985758601 7.65628934240214e-06 0.00349798597780277 1.58488597304191
"79J16" 0.0038245158369673 0.00845355342227671 5.45820068323013 7.80720738709648e-06 0.00349798597780277 1.56526268401747
"20I19" 0.0462741460842507 0.0673382255125866 5.45313846560658 7.91587586242399e-06 0.00349798597780277 1.55136729382323
"65P06" -0.00500585451860396 0.015901534022791 -5.45097155531078 7.96285567326536e-06 0.00349798597780277 1.545419184736
"17K20" 0.023786074054618 0.0736728403273931 5.4442630506352 8.11008479307371e-06 0.00350948788665054 1.52700411716217
"66K06" -0.00754734074986868 0.0315900200014209 -5.43732120651684 8.26531734738453e-06 0.00352406390959882 1.50794789986004
"91K15" 0.00975882610193603 0.0197673549692018 5.4137536166705 8.81496670838552e-06 0.0037004976528289 1.44324762184735
"21O10" 0.0187898185656111 0.0580027934689635 5.40882859940406 8.93439229117453e-06 0.0037004976528289 1.42972616406181
"06I20" -0.0057642216746782 0.0130052054366607 -5.40254198932454 9.08920070459525e-06 0.00371159431025817 1.41246615205233
"86K02" -0.00554584728840741 0.0116412803943384 -5.39058136132637 9.39121579455979e-06 0.00376470585057968 1.37962700551449
"89B23" 0.00598456201708742 0.00674587928076613 5.38611120140494 9.50666217807418e-06 0.00376470585057968 1.36735340420196
"06G20" -0.00584514522525759 0.0183604747560814 -5.38220121640545 9.60881015910379e-06 0.00376470585057968 1.35661773126554
"60I13" -0.00500578970342907 0.0132072842504028 -5.37236422840846 9.8707050515422e-06 0.00381575135412484 1.32960774990665
"80F10" 0.00636320544282911 0.0120400879509451 5.35789439906141 1.02690334281981e-05 0.00391750113399669 1.2898759779853
"25H18" 0.00396968235790394 0.00824452691295705 5.34646396101713 1.05950790108374e-05 0.00396188518173125 1.25848908769939
"45N23" -0.00672548866547475 0.0386359300192009 -5.34427555893564 1.06586777558389e-05 0.00396188518173125 1.25247987876413
"18F03" -0.0133386378316252 0.0436266828037909 -5.32991619565487 1.10856055224187e-05 0.00398473964128305 1.21304958624239
"67B05" 0.0181716050599386 0.0669182584639399 5.32267360671072 1.13074134960593e-05 0.00398473964128305 1.19316148146989
"19A20" 0.0422546243497297 0.0908261540878772 5.3168421867267 1.14892384704502e-05 0.00398473964128305 1.17714836567063
"81D17" 0.0145543799140107 0.0389107776350862 5.31154526228089 1.16569411738466e-05 0.00398473964128305 1.16260293951221
"01G20" -0.012907692312048 0.0378051543556144 -5.31132709531493 1.16639008835143e-05 0.00398473964128305 1.16200384950925
"18B07" -0.0155974487802391 0.0490605387131938 -5.30779191235415 1.1777259502202e-05 0.00398473964128305 1.15229617587555
"24G20" 0.0183657432282908 0.0502557126505641 5.30567295037794 1.18457353372221e-05 0.00398473964128305 1.14647746687349
"83I16" 0.0112383753962868 0.027714041298487 5.30346911025067 1.19173781783052e-05 0.00398473964128305 1.14042567994461
"44D01" 0.0201983721591033 0.0216106428487626 5.30158228653659 1.19790609507049e-05 0.00398473964128305 1.13524442613331
"12K09" 0.0333333722768938 0.0867698396269949 5.29271195952711 1.22733668248546e-05 0.00398473964128305 1.11088635976963
"72N21" -0.00405403678718543 0.00919537301036357 -5.28934729095651 1.23868915290846e-05 0.00398473964128305 1.10164694186354
"60A21" -0.00395903105261112 0.0131133732828561 -5.28894957347071 1.24003800847873e-05 0.00398473964128305 1.10055480612842
"90P24" 0.0199383922422515 0.0487030596117996 5.28582520065466 1.25068570812526e-05 0.00398473964128305 1.09197525913683
"56E06" -0.00497950068523882 0.00461941634122424 -5.27085440788367 1.30299278000786e-05 0.00403004827565365 1.05086565943706
"05F23" -0.005787106882 0.0174775661189072 -5.26674447455617 1.31773297666514e-05 0.00403004827565365 1.03957994921913
"53L03" -0.00682310736481821 0.026570688906424 -5.26633981788993 1.31919328894769e-05 0.00403004827565365 1.03846878163829
"90E23" 0.0245368685351512 0.0653443925484335 5.26597617670621 1.32050697129341e-05 0.00403004827565365 1.03747024109715
"83A16" 0.0198072607468979 0.0336248366594786 5.25124995077454 1.37482436526546e-05 0.00411955599007585 0.997033225729378
"72K02" 0.0110517167905993 0.0357370501506585 5.25034005036343 1.37825313364384e-05 0.00411955599007585 0.994534747050539
"83B02" 2.47449736852382 1.86985281880897 5.23465234610473 1.43873661215537e-05 0.00419934971617859 0.951458923090611
"72L18" -0.00532740450102273 0.0278445173139394 -5.23305645056436 1.44503685354149e-05 0.00419934971617859 0.947076947816068
"82I14" 0.0121700160683143 0.0433835449246722 5.23220708428271 1.44840124036098e-05 0.00419934971617859 0.944744783623323
"60A22" -0.00469931549602944 0.0185870313917234 -5.22419502761862 1.4805266558214e-05 0.00424999102299305 0.922745782565286
"91I08" 0.00827823196090779 0.018084687895459 5.21807398313126 1.50555060420164e-05 0.00427945379094296 0.905939344166287
"93C16" 0.0147392683738047 0.0249529574909548 5.21075996742766 1.53600858335195e-05 0.00432364047156535 0.885857809408204
"71D01" 0.0392473450447259 0.0898754610762207 5.20071293448565 1.57885785137823e-05 0.00440152170048164 0.858273258076272
"05K18" -0.00730780625813852 0.0379636961606612 -5.19047488770646 1.62375518752758e-05 0.00442802582528817 0.8301653455144
"25J20" 0.0171383654191609 0.0563502997644989 5.18675791164876 1.64037028379008e-05 0.00442802582528817 0.819960911952737
"09B23" -0.00696400677568687 0.0207009042212481 -5.1837387530456 1.65399148382884e-05 0.00442802582528817 0.811672357522697
"01K24" -0.0258371278459564 0.0748513900849847 -5.18264394562484 1.65895877210237e-05 0.00442802582528817 0.808666788691298
"89A04" 0.0240514984207106 0.0748550628720585 5.18137633492234 1.66472877921019e-05 0.00442802582528817 0.805186842271798
"90N15" 0.00583463752898677 0.00998095857483711 5.17656521083842 1.68681212100453e-05 0.00443799505625011 0.791979141672801
"68D11" 0.00999586693092927 0.0256972819713499 5.17391735372505 1.69909099176961e-05 0.00443799505625011 0.784710259017972
