"groupCD" "groupUC" "AveExpr" "F" "P.Value" "adj.P.Val"
"60C19" -0.0114642586898604 -0.0111858199194159 0.0245350548759672 33.7085114347041 3.38018444852689e-08 0.000666059233875851
"83C07" 0.0239650551886194 0.0528927501320451 0.0454127419497255 32.6776178724301 4.59462100421378e-08 0.000666059233875851
"13F17" 0.00542945346769123 0.00317114134524677 0.0953365934790288 30.9019988287614 7.92333845589549e-08 0.000765737839505926
"68B10" 0.0128944266392539 0.0173304852921302 0.0276492023964116 27.5605787922069 2.34826829865745e-07 0.00116539738688501
"28I19" 0.014526225791536 0.0602786853224626 0.0360593042892101 27.3347080335928 2.53510802127455e-07 0.00116539738688501
"02N23" -0.00762984263437618 -0.00800277985240909 0.051673681443632 26.9568758400351 2.88417683697596e-07 0.00116539738688501
"33F10" -0.059769726224175 -0.0351844859678788 0.0255477743794491 26.1797664819774 3.77478862580526e-07 0.00116539738688501
"18B09" -0.0224564732809271 -0.0152893781398743 0.117533570128634 25.8687111488455 4.21023474189629e-07 0.00116539738688501
"03N23" -0.00712508529517583 -0.00728253109450505 0.0457677575631939 25.3465730255876 5.06677162848242e-07 0.00116539738688501
"52A15" 0.0417224763970562 0.0247403238769981 0.00982569792073879 25.1490894897203 5.43785619059781e-07 0.00116539738688501
"18C09" -0.0308695147105085 -0.0219830971400302 0.034900981512528 25.1003455760149 5.53385967164416e-07 0.00116539738688501
"63D22" 0.0137514152803305 0.0136717933119192 0.0289260143310937 24.9741045581927 5.79103777276434e-07 0.00116539738688501
"85H15" 0.028175861114531 0.0626914905130494 0.0413217648521999 24.8481061655356 6.06052766429314e-07 0.00116539738688501
"18B07" -0.0196894446829243 -0.0155974487802391 0.0257564008619301 24.5572915654808 6.7351861636062e-07 0.00116539738688501
"82O15" 0.0157228094413805 0.0313717728655563 0.0182985112370937 24.4415720156288 7.0256377459733e-07 0.00116539738688501
"50L10" 0.0217165930369951 0.023399689804105 0.0306140515007357 24.3887187441063 7.1627346941865e-07 0.00116539738688501
"55L15" 0.014467859633569 0.00830662890579127 0.0365544373899672 24.3499882481192 7.26501646915669e-07 0.00116539738688501
"51M03" -0.00146818705100637 -0.00403292531461953 0.0306043358655474 23.9705541335158 8.35397148910277e-07 0.00116539738688501
"65C17" 0.00517193092908717 0.00933675163614479 0.0164139834290166 23.9041783488859 8.56181757118616e-07 0.00116539738688501
"87J12" -0.00708182507771886 -0.00639797268623738 0.0191491693988071 23.8507288283282 8.73321240365176e-07 0.00116539738688501
"18B03" -0.0495711321774409 -0.0318528782578112 0.0354889702618984 23.7604456083056 9.03112262929666e-07 0.00116539738688501
"18B02" -0.0321338229138045 -0.0182112200884341 0.0651219625599397 23.6756929186422 9.32070454965074e-07 0.00116539738688501
"72L18" -0.00667507636690236 -0.00532740450102273 0.0109252623666352 23.6291631476677 9.48390217251548e-07 0.00116539738688501
"38K11" 0.0143697430001721 0.00968121114144783 0.0329394273736832 23.5835117754943 9.64699661478292e-07 0.00116539738688501
"18F03" -0.0160786247067919 -0.0133386378316252 0.0278389708032264 23.2885484540372 1.0775943190953e-06 0.00124970768374121
"68H13" 0.0256655289932337 0.0330656383729024 0.0206727240594024 23.0429955499261 1.1823812596213e-06 0.00130774306753821
"83O22" 0.0164559399289351 0.0195193944122921 0.0245375140407048 22.9651309682957 1.21784785374165e-06 0.00130774306753821
"14B12" 0.00587848197293677 0.0037650126361919 0.0606909005802408 22.8211159426031 1.28648371674317e-06 0.00133210794284053
"60A21" -0.00470896042598767 -0.00395903105261112 0.0199366087281612 22.5438109428705 1.43059427400569e-06 0.00143024895814645
"18F04" -0.0129044260233739 -0.0122899372115632 0.037025491941065 22.4186898555812 1.50119436988546e-06 0.00144574096765104
"17K21" 0.00645871940189582 0.00629668915776647 0.0921393069258542 22.3428106135667 1.54582037033705e-06 0.00144574096765104
